time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassAngle,gpsX,gpsY,truePosX,truePosY
3.00000,0.32154,0.17305,10.41821,0.00062,-0.00482,0.00880,-1.63188,-62.05173,45.10461,-61.25509,45.15567,-0.01
3.05000,0.26185,0.29551,10.25299,0.00428,0.00986,0.01860,-1.63259,-62.46703,45.07766,-61.67093,45.12894,-0.01
3.10000,0.15393,0.34734,9.96657,0.00548,0.01698,0.02429,-1.63372,-62.88285,45.05009,-62.08690,45.10176,-0.01
3.15000,0.04467,0.35200,9.77175,0.00317,0.01664,0.02764,-1.63504,-63.29897,45.02164,-62.50287,45.07399,-0.01
3.20000,0.20515,-0.17584,7.27817,0.03132,0.10093,0.02693,-1.63640,-63.71513,44.99233,-62.91806,45.04604,-0.01
3.25000,1.10088,0.87797,7.74288,0.00456,0.15535,0.02635,-1.63785,-64.13129,44.96301,-63.33442,45.01691,-0.01
3.30000,-0.25007,0.50569,11.17754,-0.01410,0.09659,0.03453,-1.63954,-64.54947,44.93213,-63.75211,44.98691,-0.01
3.35000,-1.15429,0.26483,11.64187,-0.01164,0.03182,0.03382,-1.64125,-64.96898,44.89974,-64.16846,44.95624,-0.01
3.40000,-0.85236,0.17131,11.20782,-0.00566,-0.02076,0.03253,-1.64291,-65.38636,44.86668,-64.58375,44.92501,-0.02
3.45000,-0.46872,0.25931,10.43227,0.00042,-0.04555,0.03647,-1.64462,-65.80162,44.83329,-64.99846,44.89334,-0.02
3.50000,-0.10908,0.47560,9.75608,0.00582,-0.04413,0.04598,-1.64670,-66.21563,44.79949,-65.41299,44.86106,-0.03
3.55000,-0.37764,-0.04161,7.32490,0.04731,-0.08134,0.06526,-1.64941,-66.62923,44.76478,-65.82742,44.82892,-0.03
3.60000,-0.97934,1.55261,6.83627,0.00966,-0.13040,0.06818,-1.65317,-67.04268,44.72946,-66.24036,44.79563,-0.03
3.65000,0.43631,1.09073,10.15059,-0.00485,-0.10529,0.07476,-1.65667,-67.45345,44.69240,-66.65327,44.75928,-0.03
3.70000,0.74352,0.83872,11.29143,-0.00813,-0.05685,0.07842,-1.66054,-67.86386,44.65203,-67.06681,44.72120,-0.04
3.75000,0.76098,0.80309,11.68902,-0.00477,-0.00691,0.08626,-1.66466,-68.27548,44.60928,-67.48101,44.68150,-0.03
3.80000,0.57818,0.77921,11.29178,0.00094,0.02936,0.08870,-1.66908,-68.68859,44.56449,-67.89565,44.63997,-0.04
3.85000,0.28865,0.85531,10.53003,0.00329,0.04554,0.09448,-1.67366,-69.10287,44.51758,-68.31046,44.59665,-0.04
3.90000,0.00927,0.97013,9.73638,0.00496,0.04316,0.10083,-1.67858,-69.51776,44.46866,-68.72510,44.55139,-0.04
3.95000,-0.17755,1.01602,9.29309,0.00413,0.02865,0.10506,-1.68376,-69.93254,44.41744,-69.13929,44.50400,-0.04
4.00000,-0.24564,1.00364,9.20794,0.00186,0.01008,0.10729,-1.68909,-70.34668,44.36381,-69.55292,44.45440,-0.05
4.05000,-0.22038,1.10545,9.31665,0.00124,-0.00562,0.11470,-1.69464,-70.75990,44.30779,-69.96597,44.40263,-0.05
4.10000,-0.13309,1.17985,9.48164,0.00291,-0.01459,0.12143,-1.70058,-71.17218,44.24932,-70.37848,44.34851,-0.05
4.15000,-0.02397,1.21854,9.77434,0.00349,-0.01627,0.12767,-1.70684,-71.58360,44.18808,-70.79054,44.29187,-0.05
4.20000,0.07045,1.13185,9.98475,0.00206,-0.01245,0.12637,-1.71322,-71.99438,44.12400,-71.20223,44.23247,-0.05
4.25000,0.11581,1.16575,9.99480,0.00019,-0.00588,0.13063,-1.71962,-72.40472,44.05702,-71.61364,44.17049,-0.06
4.30000,0.10029,1.28436,9.99851,0.00234,0.00071,0.13795,-1.72636,-72.81481,43.98735,-72.02471,44.10585,-0.06
4.35000,0.06383,1.38626,9.82231,0.00457,0.00519,0.14666,-1.73351,-73.22457,43.91463,-72.43535,44.03840,-0.06
4.40000,0.02244,1.44415,9.78935,0.00499,0.00677,0.15232,-1.74103,-73.63388,43.83863,-72.84547,43.96788,-0.06
4.45000,-0.01187,1.48147,9.77341,0.00358,0.00586,0.15803,-1.74881,-74.04257,43.75917,-73.25498,43.89420,-0.07
4.50000,-0.04192,1.57458,9.69497,0.00320,0.00365,0.16614,-1.75693,-74.45054,43.67623,-73.66380,43.81730,-0.07
4.55000,-0.04983,1.60529,9.74902,0.00331,0.00118,0.17188,-1.76543,-74.85765,43.58963,-74.07186,43.73696,-0.07
4.60000,-0.04025,1.63602,9.77711,0.00276,-0.00072,0.17785,-1.77419,-75.26379,43.49920,-74.47912,43.65310,-0.07
4.65000,-0.01816,1.58531,9.71382,0.00163,-0.00170,0.17799,-1.78312,-75.66893,43.40494,-74.88554,43.56552,-0.07
4.70000,0.00451,1.55934,9.78344,-0.00007,-0.00168,0.17968,-1.79205,-76.07307,43.30681,-75.29116,43.47432,-0.07
